wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
w                                                       
w                                                       
w   ww   ww   wwww                         w   wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
w                    w      wwwwwwww                   w
w                                                      w
w                                                      w
w                                                      w
w                                                      w
w                                                      w
w                         wwwwwwwwwww                  w
w                                                      w
w                                                      w
w                                       wwwwwwwwww     w
w              wwww                                    w
w                                                      w
w                                                      w
wwwwwwwwwwwwwwwww          wwwwwwwwwww                 w
    w                                                  w
    w                                                  w
    w                                              wwwww
    w                                              w   w
    w                                              w   w
    w                                       wwwwwwwwwwww
    w                                       w          w
    w                                                  w
    w          wwww                                    w
    w                                                  w
    w                                                  w
    w                                                  w
    wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
