wwwwwwwww
w        
w   e    
w   ww   
w        
w           wwwwwwwwwwwwwww
w        
w                             wwwwwww                
w                                                     wwwwwwww
w                                                        w
w                                       wwwwwwww      
w                                             
w                                              b              
w                                                      wwwww
w              wwww                           
w                                             www
w     s                                                       
wwwwwwwwwwwwwwwww         w          wwwww              wwwwww
