wwwwwwwww
w        
w        
w        
w        
w                             wwwwwww                      e
w                                                     wwwwwwww
w                                                        w    
w                                       wwwwwwww              
wwwwwwwwwwww    wwwwwwwwwww                                   
w                         w                                   
w                         w                             wwwww
wwwwwwwwwwwwwwwwwwwwwwww  w                              
w                         w                    www
w     s                   w                                    
wwwwwwwwwwwwwwwww wwwwwwwww        w          wwwww              wwwwww
